Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
45046527,American Dirt,Jeanine Cummins,"Cummins, Jeanine",,"=""""","=""""",5,4.37,Flatiron Books,Hardcover,459,2020,2020,2021/01/01,2021/04/22,,,read,,,,1,0
11797365,Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,Blaine Harden,"Harden, Blaine",,"=""0670023329""","=""9780670023325""",5,4.00,Viking,Hardcover,205,2012,2012,2021/01/01,2021/06/27,,,read,,,,1,0
43166269,"Doing Justice: A Prosecutor's Thoughts on Crime, Punishment, and the Rule of Law",Preet Bharara,"Bharara, Preet",,"=""""","=""""",5,4.27,Vintage,ebook,333,2019,2019,2021/01/01,2021/06/23,,,read,,,,1,0
42649659,The Right Side of History: How Reason and Moral Purpose Made the West Great,Ben Shapiro,"Shapiro, Ben",,"=""0062857924""","=""9780062857927""",4,3.87,Broadside e-books,Kindle Edition,277,2019,2019,2021/04/15,2021/04/14,,,read,,,,1,0
31625593,The Benedict Option: A Strategy for Christians in a Post-Christian Nation,Rod Dreher,"Dreher, Rod",,"=""0735213291""","=""9780735213296""",4,3.80,Sentinel,Hardcover,262,2017,2017,2021/01/01,2021/06/19,,,read,,,,1,0
19691,"The Hunt for Red October (Jack Ryan, #3)",Tom Clancy,"Clancy, Tom",,"=""0425172902""","=""9780425172902""",4,4.11,Berkley Trade,Mass Market Paperback,432,1999,1984,2021/01/01,2021/06/15,,,read,,,,1,0
18668154,Blue Collar Conservatives: Recommitting to an America That Works,Rick Santorum,"Santorum, Rick",,"=""1621572390""","=""9781621572398""",4,3.87,Regnery,Hardcover,216,2014,2014,2021/01/01,2021/05/04,,,read,,,,1,0
34066798,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,"=""""","=""""",5,4.32,Penguin Books,Paperback,462,2019,2016,2021/04/29,2021/04/14,,,read,,,,1,0
54553501,The Price of Panic: How the Tyranny of Experts Turned a Pandemic into a Catastrophe,Douglas Axe,"Axe, Douglas","Jay W. Richards, William M. Briggs","=""""","=""""",4,4.37,Regnery,Kindle Edition,287,2020,,2021/01/01,2021/02/22,,,read,,,,2,0
44525305,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"Iger, Robert",Joel Lovell,"=""""","=""""",4,4.40,Random House,Hardcover,272,2019,2019,2021/01/01,2020/12/27,,,read,,,,1,0
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1476738017""","=""9781476738017""",4,4.38,Atria Books,Hardcover,337,2014,2012,2021/01/01,2021/02/17,,,read,,,,1,0
