Title,Author,ISBN,My Rating,Date Read,Thoughts
The Bitcoin Standard: The Decentralized Alternative to Central Banking,Saifedean Ammous,1119473861,4,2021/03/01,
Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,1984878107,4,2021/12/17,
Influence: The Psychology of Persuasion,Robert B. Cialdini,006124189X,4,2021/12/09,
World War Z: An Oral History of the Zombie War,Max Brooks,0307346609,4,2021/12/15,
Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,,5,2021/12/05,"Insightful read, easy to follow along and each chapter was really independent from the last. The author helps explain various experiences in life, such as why people get weird when the topic of money comes up or how ""Free!"" influences our thinking. Would recommend if interested in psychology or behavioral economics. "
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,030726999X,5,2021/11/27,"Great finish to the trilogy. More action-packed and dramatic than the previous. Salander, Blomkvist, Berger, and others are just as compelling in this story. I’d say it’s the best of the three. "
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,075640407X,4,2021/11/01,
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,,5,2016/10/15,
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,1455586692,5,2021/10/18,"A pathway for higher productivity, better habits, quality work product, and a more fulfilling life. ""Deep work"" is another way of saying ""focused attention, concentration, or deliberate practice. Prolonged mental effort on a singular project with zero distraction yields results. The best way to do so is to schedule it, make it a habit, practice, and disconnect from social media, email, and the other nonsense that is disrupting your mental flow. <br/><br/>Great book. I am the type of person that thrives when I ""go deep."" A library that is dead silent is my ideal study spot. I am really going to take the message of this book to heart. "
Salt to the Sea,Ruta Sepetys,,5,2021/10/13,"A great and moving story. A page-turner with an emotional ending. Kudos to the author for taking a different approach to a topic as widely covered as World War II; not only did she expose the events surrounding the Wilhelm Gustloff, she did so through the eyes of young people/teenagers. A must-read for any person (young or old) who enjoys World War II historical fiction. <br/><br/>TIP: Read the author's note at the end as well! Sepetys has some excellent thoughts and a worthwhile message. "
